,"ZAR/SDR, End of Period","ZAR/SDR, Period Average","ZAR/USD, End of Period","ZAR/USD, Period Average","Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index","Real Effective Exchange Rate, based on Consumer Price Index"
2012M02,11.56,11.87,7.43,7.66,92.59,96.14
2012M03,11.89,11.73,7.67,7.61,93.84,97.54
2012M04,12.01,12.09,7.74,7.83,91.36,95.18
2012M05,12.89,12.48,8.53,8.15,89.23,93.19
2012M06,12.45,12.71,8.2,8.39,87.86,92.18
2012M07,12.34,12.42,8.18,8.25,89.69,93.86
2012M08,12.8,12.52,8.41,8.28,88.79,93.0
2012M09,12.81,12.73,8.31,8.27,87.26,92.13
2012M10,13.37,13.29,8.68,8.63,83.45,88.58
2012M11,13.54,13.45,8.82,8.79,82.47,87.98
2012M12,13.07,13.3,8.5,8.64,83.52,89.35
2013M01,13.8,13.5,8.95,8.79,81.83,87.74
2013M02,13.56,13.58,8.95,8.89,81.38,87.47
2013M03,13.79,13.82,9.2,9.19,80.05,86.44
2013M04,13.55,13.7,8.98,9.11,80.7,87.46
2013M05,15.21,14.05,10.15,9.37,79.03,85.53
2013M06,15.17,15.18,10.09,10.03,73.65,79.85
2013M07,14.95,14.89,9.87,9.9,75.27,81.98
2013M08,15.64,15.33,10.32,10.09,73.35,80.19
2013M09,15.42,15.19,10.05,9.98,73.82,81.07
2013M10,15.22,15.26,9.86,9.91,73.23,80.64
2013M11,15.6,15.61,10.16,10.2,71.76,79.15
2013M12,16.15,15.97,10.49,10.38,70.38,77.96
2014M01,17.31,16.73,11.28,10.89,67.45,75.15
2014M02,16.58,16.91,10.71,10.98,66.79,74.81
2014M03,16.35,16.63,10.58,10.75,67.72,76.23
2014M04,16.35,16.33,10.55,10.55,68.74,77.46
2014M05,16.08,16.11,10.44,10.41,69.65,78.78
2014M06,16.39,16.4,10.6,10.67,68.22,77.31
2014M07,16.39,16.5,10.7,10.7,68.19,77.53
2014M08,16.13,16.27,10.63,10.66,69.05,79.0
2014M09,16.8,16.46,11.33,10.98,68.48,78.47
2014M10,16.14,16.45,10.92,11.07,68.8,79.09
2014M11,16.07,16.29,10.97,11.1,69.64,80.36
2014M12,16.78,16.7,11.58,11.46,68.44,79.09
2015M01,16.34,16.44,11.59,11.57,69.54,80.42
2015M02,16.36,16.36,11.62,11.58,70.38,81.3
2015M03,16.8,16.72,12.18,12.07,69.33,80.55
2015M04,16.63,16.61,11.83,12.01,69.63,81.38
2015M05,16.94,16.81,12.18,11.97,68.7,80.59
2015M06,17.16,17.28,12.2,12.3,67.03,78.92
2015M07,17.65,17.39,12.66,12.46,67.02,79.37
2015M08,18.73,18.12,13.34,12.92,64.94,77.13
2015M09,19.48,19.14,13.88,13.61,61.85,73.66
2015M10,19.28,19.0,13.8,13.51,62.12,74.22
2015M11,19.82,19.51,14.44,14.12,60.7,72.72
2015M12,21.54,20.77,15.55,14.99,57.13,68.82
2016M01,22.19,22.61,16.08,16.37,52.85,64.27
2016M02,22.19,21.96,16.06,15.77,54.2,66.42
2016M03,20.75,21.47,14.73,15.39,55.02,67.29
2016M04,20.08,20.6,14.17,14.62,56.92,70.03
2016M05,22.15,21.7,15.79,15.38,54.37,67.1
2016M06,20.67,21.23,14.78,15.08,55.51,68.79
2016M07,19.72,20.03,14.15,14.41,58.62,72.93
2016M08,20.27,19.25,14.53,13.76,60.73,75.72
2016M09,19.38,19.61,13.89,14.02,59.71,74.67
2016M10,19.02,19.29,13.85,13.97,60.81,76.34
2016M11,18.96,19.03,14.0,13.92,61.99,78.18
2016M12,18.4,18.64,13.68,13.84,63.49,80.36
2017M01,18.28,18.3,13.45,13.54,64.53,81.9
2017M02,17.63,17.98,13.02,13.26,65.3,83.4
2017M03,18.01,17.53,13.27,12.94,66.91,85.39
2017M04,18.16,18.39,13.24,13.51,63.74,81.1
2017M05,18.18,18.26,13.13,13.29,64.12,82.04
2017M06,18.17,17.87,13.06,12.92,65.37,83.8
2017M07,18.33,18.33,13.02,13.13,63.42,81.08
2017M08,18.48,18.67,13.08,13.23,62.04,79.55
2017M09,19.08,18.69,13.5,13.16,61.89,79.78
2017M10,19.8,19.32,14.1,13.71,60.13,77.74
2017M11,19.27,19.8,13.62,14.06,58.8,76.13
2017M12,17.57,18.75,12.34,13.25,61.96,80.54
