,ZAR/USD,Value of Exports (USD),Value of Exports (ZAR),Value of Imports (USD),Value of Imports (ZAR),IMF Reserve Position (USD),Foreign Exchange (USD),Claims on Non-residents (USD),Liabilities to Non-residents (USD),Consumer Price Index
2012M09,8.27,7878.84,65197.15,9119.04,75459.83,59.64,41031.89,56157.21,38714.18,112.18
2012M10,8.63,8007.77,69099.25,10278.99,88697.73,59.57,40939.82,53857,37669.63,113.03
2012M11,8.79,8725.59,76736.92,9070.4,79769.35,64.6,41045.88,56471.36,40555.73,113.31
2012M12,8.64,7771.8,67183.07,7761.61,67094.98,64.69,41182.55,53199.07,41166.55,113.74
2013M01,8.79,7047.05,61978.65,9445.32,83071.37,68.27,41665.38,52183.81,38708.71,114.02
2013M02,8.89,8065.34,71725.97,8735.04,77681.66,66.34,41204.34,52559.15,38687.58,115.02
2013M03,9.19,7935.22,72943.05,8451.04,77684.66,65.65,40822.69,50131.49,36528.21,116.44
2013M04,9.11,8306.12,75677.71,9693.37,88317.12,87.22,41813.19,52676.97,39261.13,116.72
2013M05,9.37,8073.72,75647.38,8885.67,83254.97,85.63,39734.67,50652.07,34929.46,116.44
2013M06,10.03,7702.46,77219.97,8194.65,82154.4,89.24,39041.45,50287.92,34275.14,116.86
2013M07,9.9,8781.17,86971.61,9804.15,97103.55,97.86,39375.47,51183.93,33397.76,118
2013M08,10.09,8037.82,81130.12,9485.96,95746.99,97.89,39540.92,51286.94,33482.24,118.42
2013M09,9.98,7706.77,76881.4,9179.33,91571.48,139.6,41848.29,48958.91,31717.84,118.99
2013M10,9.91,8564.66,84914.24,9919.16,98343.46,148.18,42003.2,47736.97,31683.49,119.28
2013M11,10.2,8481.86,86545.26,8862.77,90431.89,166.27,41683.53,47307.98,31710.97,119.42
2013M12,10.38,7437.97,77224.45,7531.33,78193.74,166.78,41943.12,47665.56,32826.43,119.7
2014M01,10.89,7215.19,78599.25,9083.35,98950.13,164.47,41510.53,51744.9,38981.84,120.55
2014M02,10.98,7740.85,85002.63,7793.85,85584.61,165.94,41969.38,48945.21,37369.87,121.83
2014M03,10.75,7498.19,80574.22,8920.79,95861.32,166.47,41416.93,50472.3,36528.16,123.39
2014M04,10.55,7354.3,77588.84,8976.24,94700.45,166.96,41504.55,47586.21,35452,123.96
2014M05,10.41,7599.32,79107.27,8515.55,88645.05,180.33,41518.89,48328.47,34287.81,124.39
2014M06,10.67,7620.1,81315.5,7902.28,84326.67,192.37,40521.95,50256.29,35410.82,124.81
2014M07,10.7,8121.14,86929.54,9038.07,96744.46,187.49,41884.6,47220.84,36330.45,125.81
2014M08,10.66,7409,79001.33,9280.16,98953.26,185.91,41690.64,46672.03,36411.12,126.09
2014M09,10.98,8296.07,91072.46,8956.12,98318.36,194.12,41421.83,47296.49,37453.26,126.09
2014M10,11.07,7982.24,88364.24,10407.4,115210.99,193.57,41137.27,48172.77,39104.62,126.38
2014M11,11.1,7628.2,84710.62,8485.48,94230.56,189.14,41201.71,48942.91,40669.11,126.38
2014M12,11.46,7717.45,88446.1,7413.51,84962.71,183.53,41493.14,47696.17,41481.17,126.09
2015M01,11.57,5850.92,67712.09,8236.9,95324.83,178.58,39825.45,50065.45,44996.92,125.95
2015M02,11.58,6721.75,77854.8,7721.24,89431.44,173.63,39616.07,48861.83,42413.94,126.8
2015M03,12.07,7649.36,92313.81,7911.9,95482.29,178.75,39010.99,49255.7,42003.42,128.36
2015M04,12.01,6958.72,83544.94,7551.62,90663.18,182.23,39478.21,49201.22,41124.13,129.64
2015M05,11.97,7373.2,88244.87,7354.66,88023,180.17,38991.22,48646.11,39163.97,129.78
2015M06,12.3,7302.95,89834,7280.36,89556.05,180.82,39416.31,50123.65,36378.79,130.49
2015M07,12.46,7411.53,92348.7,7990.38,99561.23,176.02,38780.93,47859.37,35912.45,131.63
2015M08,12.92,6743.95,87132.35,7952.46,102746.45,200.33,38814.96,47123.54,36880.63,131.77
2015M09,13.61,6680.86,90946.99,7230.09,98423.73,201.03,38899.56,48222.98,37716.63,131.77
2015M10,13.51,6292.78,85012.51,8361.15,112955.23,221,38711.99,45184.8,36518.11,132.06
2015M11,14.12,6605.46,93237.28,7134.42,100703.58,217.09,38213.3,44665.59,39004.7,132.34
2015M12,14.99,5838.05,87514.73,5649.06,84681.67,218.68,38922.87,48052.53,40522.44,132.62
2016M01,16.37,4335.18,70945.32,5718.1,93576.82,217.85,37937.4,47457.7,40852.15,133.76
2016M02,15.77,5456.16,86020.07,6133.52,96699.17,623.95,38082.06,44385.44,37841,135.61
2016M03,15.39,5957.78,91671.36,6359.5,97852.55,636.38,39058.59,45150.74,37640.22,136.74
2016M04,14.62,6152.4,89962.96,6626.33,96893.01,638.38,38765.66,43661.91,35580.2,138.02
2016M05,15.38,6454.97,99254.44,5895.03,90644.66,631.87,38332.86,41777.61,33295.94,138.3
2016M06,15.08,6699.2,101031.04,6467.14,97531.33,660.55,38196.36,42672.92,34484.93,139.01
2016M07,14.41,6291.54,90657.93,6582.11,94844.92,657.97,37984.93,45513.71,36602.61,140.15
2016M08,13.76,6522.62,89756.45,7561.21,104048.31,658.42,37647.18,44745.39,35275.75,140.01
2016M09,14.02,7078.31,99225.51,6933.02,97188.75,669.17,39086.74,43730.93,37174.33,140.29
2016M10,13.97,6353.08,88773.61,6918.08,96668.59,658.68,39120.62,46790.14,35149.87,141
2016M11,13.92,7149,99496.01,7588.29,105609.72,649.05,39552.49,44136.56,35709.57,141.43
2016M12,13.84,6758.08,93521.86,6128.05,84803.28,644.53,39914.65,42378.54,35331.46,142
2017M01,13.54,5922.68,80213.48,7050.68,95490.48,651.48,39076.39,42222.78,36126.45,142.85
2017M02,13.26,6595.17,87479.8,6514.78,86413.6,649.11,38957.76,42247.11,38119.57,144.41
2017M03,12.94,7821.6,101206.02,7262.78,93975.25,650.53,38870.46,42597.33,36252.55,145.12
2017M04,13.51,6735.02,91009.21,6649.22,89849.76,655.95,38839.11,40520.11,34028.76,145.26
2017M05,13.29,7731.84,102718.94,7527.94,100010.03,662.36,39375.47,41016.58,34159.76,145.69
2017M06,12.92,7901.21,102061.56,7434.06,96027.32,662.96,39558.12,42130.97,33235.58,145.97
2017M07,13.13,7058.3,92702.85,6738.95,88508.58,665.83,38869,44653.13,34924.21,146.25
2017M08,13.23,7799.19,103199.17,7724.11,102205.79,661.54,38889,43768.32,33965.83,146.4
2017M09,13.16,7761.13,102150.48,7810.59,102801.49,661.5,41424,44318.4,34351.03,147.11
2017M10,13.71,7601.5,104205.42,7661.57,105028.95,656.62,41018,44003.77,34206.03,147.53
2017M11,14.06,8264.55,116185.99,7704.4,108311.23,654.14,42372,42813.27,32917.8,147.67
2017M12,13.25,7874.08,104320.26,7068.85,93652.18,638.23,42735,47101.71,37918.26,148.38
